"11al -- First registrations of vehicles, 2001-2025"

"Vehicle class","Region","2001 Number","2002 Number","2003 Number","2004 Number","2005 Number","2006 Number","2007 Number","2008 Number","2009 Number","2010 Number","2011 Number","2012 Number","2013 Number","2014 Number","2015 Number","2016 Number","2017 Number","2018 Number","2019 Number","2020 Number","2021 Number","2022 Number","2023 Number","2024 Number","2025 Number"
"Light quadricycles","Lapland",8,29,25,21,12,27,15,21,6,18,23,14,18,15,9,4,4,1,0,1,0,1,1,0,1
"Light quadricycles","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Light quadricycles","Foreign countries",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Quadricycles","MAINLAND FINLAND",0,0,32,345,1860,3177,4535,2983,1738,1374,1046,788,495,254,167,90,29,18,12,1,11,3,5,15,46
"Quadricycles","Uusimaa",0,0,6,140,780,1200,1401,839,582,506,333,288,199,90,92,45,19,12,10,1,11,2,3,15,46
"Quadricycles","Southwest Finland",0,0,2,18,108,221,296,249,131,114,86,75,36,12,10,6,2,0,0,0,0,0,2,0,0
"Quadricycles","Satakunta",0,0,0,22,66,109,149,73,64,45,40,18,17,6,6,0,1,0,0,0,0,0,0,0,0
"Quadricycles","Kanta-Häme",0,0,1,7,53,62,86,74,40,41,22,17,14,9,3,1,0,0,1,0,0,0,0,0,0
"Quadricycles","Pirkanmaa",0,0,0,10,184,365,395,268,160,128,115,90,57,27,6,7,0,0,1,0,0,1,0,0,0
"Quadricycles","Päijät-Häme",0,0,0,7,63,86,172,107,54,27,33,23,16,8,7,1,0,0,0,0,0,0,0,0,0
"Quadricycles","Kymenlaakso",0,0,0,5,58,120,153,98,58,42,30,29,12,1,1,3,0,0,0,0,0,0,0,0,0
"Quadricycles","South Karelia",0,0,0,5,22,45,95,49,32,19,12,12,8,3,0,1,1,2,0,0,0,0,0,0,0
"Quadricycles","South Savo",0,0,4,9,37,91,117,85,53,35,21,14,11,3,3,1,0,2,0,0,0,0,0,0,0
"Quadricycles","North Savo",0,0,1,17,55,78,194,183,71,69,38,16,15,13,3,0,1,1,0,0,0,0,0,0,0
"Quadricycles","North Karelia",0,0,1,13,32,82,223,99,38,30,34,26,16,11,6,0,0,0,0,0,0,0,0,0,0
"Quadricycles","Central Finland",0,0,9,10,48,124,176,159,75,56,48,34,11,16,11,1,1,0,0,0,0,0,0,0,0
"Quadricycles","South Ostrobothnia",0,0,1,12,86,143,228,171,93,61,52,30,15,10,3,4,1,0,0,0,0,0,0,0,0
"Quadricycles","Ostrobothnia",0,0,2,9,54,87,168,106,44,27,34,19,17,6,2,7,2,0,0,0,0,0,0,0,0
"Quadricycles","Central Ostrobothnia",0,0,0,5,19,27,42,34,12,9,10,6,3,3,1,1,0,1,0,0,0,0,0,0,0
"Quadricycles","North Ostrobothnia",0,0,1,19,102,204,413,208,112,93,79,45,28,12,7,3,1,0,0,0,0,0,0,0,0
"Quadricycles","Kainuu",0,0,2,15,26,39,65,37,29,16,15,12,4,4,1,0,0,0,0,0,0,0,0,0,0
"Quadricycles","Lapland",0,0,2,22,67,94,162,143,88,54,44,34,16,20,5,9,0,0,0,0,0,0,0,0,0
"Quadricycles","Unknown",0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quadricycles","Foreign countries",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caravans","MAINLAND FINLAND",1010,1176,1410,1736,1942,1951,1814,1472,1015,1084,1055,918,758,698,597,545,652,681,783,874,1055,808,714,663,522
"Caravans","Uusimaa",365,443,488,558,558,560,543,427,296,290,303,231,178,175,198,162,201,221,252,299,301,241,195,212,164
"Caravans","Southwest Finland",123,123,133,207,217,237,214,166,108,105,99,98,75,83,52,61,61,76,90,100,91,71,66,46,25
"Caravans","Satakunta",34,44,62,85,83,85,87,78,31,42,41,32,25,17,17,25,29,21,36,21,18,13,15,3,4
"Caravans","Kanta-Häme",34,41,55,72,86,71,75,58,51,44,55,30,32,21,29,17,23,16,23,15,23,9,8,7,14
"Caravans","Pirkanmaa",80,71,115,131,143,162,128,112,71,103,71,59,56,47,40,29,37,57,53,68,94,70,43,40,24
"Caravans","Päijät-Häme",47,52,54,54,48,63,60,32,28,30,27,32,36,28,22,18,23,21,21,17,22,25,26,23,15
"Caravans","Kymenlaakso",35,34,52,52,54,56,57,41,16,21,23,14,13,22,14,11,16,7,6,11,14,11,11,9,9
"Caravans","South Karelia",32,22,27,27,29,35,20,25,16,22,11,19,9,11,5,15,16,20,11,11,8,4,6,6,4
"Caravans","South Savo",12,11,11,19,25,15,26,11,11,6,12,11,11,7,6,2,2,3,6,5,9,15,13,3,7
"Caravans","North Savo",26,37,45,55,55,58,49,53,43,55,53,44,40,38,6,21,14,19,27,24,38,36,14,12,10
"Caravans","North Karelia",13,12,19,27,34,43,30,26,11,15,15,13,11,12,7,13,23,14,17,25,36,30,34,28,23
"Caravans","Central Finland",31,49,48,63,74,75,79,61,46,45,45,49,32,31,51,34,29,31,40,41,54,42,24,36,37
"Caravans","South Ostrobothnia",28,25,35,57,102,60,78,68,61,54,62,47,45,34,28,28,31,22,29,27,35,29,44,29,13
"Caravans","Ostrobothnia",24,41,48,36,60,64,59,27,28,25,22,22,11,19,4,7,4,8,2,14,17,10,6,5,5
"Caravans","Central Ostrobothnia",13,17,30,20,21,44,28,33,26,52,37,38,35,22,26,18,18,32,36,34,65,58,79,74,78
"Caravans","North Ostrobothnia",74,102,127,174,235,210,191,177,101,111,109,119,110,94,62,63,96,73,98,102,154,94,98,84,58
"Caravans","Kainuu",4,13,13,15,9,14,9,6,6,5,9,6,4,3,2,4,0,8,3,4,5,3,1,5,2
"Caravans","Lapland",35,39,48,84,109,99,81,70,64,59,61,54,35,34,28,17,29,32,33,55,71,47,31,40,30
"Caravans","Unknown",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caravans","Foreign countries",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Semitrailers","MAINLAND FINLAND",908,1421,1793,1898,2091,2270,2583,2480,747,807,1838,1693,1237,1738,1145,1280,2590,2446,1285,911,1033,1411,1022,650,1248
"Semitrailers","Uusimaa",663,1249,1539,1607,1786,1929,2139,2014,474,570,1510,1436,940,1463,842,882,2186,2083,761,504,665,1042,672,393,826
"Semitrailers","Southwest Finland",23,5,36,22,23,31,62,34,23,17,28,25,20,29,20,26,45,53,48,38,42,32,15,23,17
"Semitrailers","Satakunta",35,17,35,19,26,15,35,27,15,5,16,12,19,2,24,22,27,18,34,30,26,30,26,24,20
"Semitrailers","Kanta-Häme",7,11,13,15,12,11,29,15,7,9,16,20,23,14,20,17,4,7,14,15,16,10,14,23,9
"Semitrailers","Pirkanmaa",17,13,11,26,14,23,31,30,23,21,22,14,45,27,15,16,49,25,30,25,22,37,47,45,25
"Semitrailers","Päijät-Häme",1,3,2,4,5,9,5,5,3,7,3,4,5,7,8,5,12,18,25,23,7,12,19,1,9
"Semitrailers","Kymenlaakso",11,12,40,96,45,21,29,51,33,18,24,10,10,4,8,8,4,0,8,9,13,19,5,8,3
"Semitrailers","South Karelia",8,4,14,11,12,26,14,54,26,23,14,13,16,5,9,15,10,33,37,34,14,9,11,4,7
"Semitrailers","South Savo",1,0,1,5,0,0,1,4,1,0,5,0,1,2,1,1,5,1,2,5,3,2,1,4,5
"Semitrailers","North Savo",4,5,7,6,10,10,8,8,11,8,4,7,3,8,7,9,13,19,17,8,14,7,5,12,5
"Semitrailers","North Karelia",3,3,10,2,7,2,3,10,6,7,11,7,3,10,8,9,15,7,10,7,6,9,2,3,1
"Semitrailers","Central Finland",2,2,7,7,8,12,16,18,9,6,6,8,7,15,10,14,14,20,36,21,8,36,16,29,33
"Semitrailers","South Ostrobothnia",65,25,16,12,28,47,53,43,18,20,20,18,12,20,17,18,40,23,47,35,40,37,22,10,20
"Semitrailers","Ostrobothnia",26,37,24,36,38,44,57,65,20,29,44,48,59,59,69,79,50,59,33,43,43,65,77,30,35
"Semitrailers","Central Ostrobothnia",13,8,12,6,40,56,49,57,27,26,58,8,34,32,14,82,54,28,66,22,44,17,38,11,92
"Semitrailers","North Ostrobothnia",26,20,17,14,27,18,31,30,35,27,37,35,32,13,46,55,50,31,43,33,28,27,36,17,17
"Semitrailers","Kainuu",0,1,5,4,4,7,1,13,0,2,14,12,3,25,11,5,7,0,28,24,28,2,1,0,31
"Semitrailers","Lapland",3,6,4,6,6,9,20,2,16,12,6,16,5,3,16,17,5,21,46,30,14,18,14,11,17
"Semitrailers","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,6
"Semitrailers","Foreign countries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"Other trailers total","MAINLAND FINLAND",25639,26143,28340,30968,33304,40312,35235,31612,28241,31285,31838,30242,25477,27674,24317,25158,26128,25334,26685,31903,33331,25579,20072,17728,16497
"Other trailers total","Uusimaa",5659,5830,5813,6398,7391,8450,7771,6893,5197,5605,5246,4733,3598,3946,3813,3890,5039,4189,5137,6159,6996,5599,4746,4168,4096
"Other trailers total","Southwest Finland",1978,2056,2385,2364,2898,3352,2659,2230,1669,2348,2413,2495,1972,1943,1883,2116,2238,2439,2571,4120,4453,3328,3001,2647,2630
"Other trailers total","Satakunta",1218,1277,1374,1515,1558,1939,1370,1246,1094,1127,1096,1102,984,920,608,649,660,563,489,654,600,504,415,355,372
"Other trailers total","Kanta-Häme",779,847,957,1058,1129,1842,1810,1152,1028,1022,1092,1151,766,863,593,640,731,714,709,804,763,570,516,291,255
"Other trailers total","Pirkanmaa",2643,2647,2970,3567,3240,4295,4377,4404,5283,6490,5946,3869,2981,3310,2676,2890,3183,2618,2385,3157,3640,3436,2046,1668,1151
"Other trailers total","Päijät-Häme",843,869,965,1006,1164,1351,1219,1049,830,847,777,734,619,719,673,642,636,693,764,874,811,608,443,390,372
"Other trailers total","Kymenlaakso",959,899,1012,1045,1138,1330,974,1185,803,730,761,785,668,767,640,548,538,503,536,606,493,356,273,258,228
"Other trailers total","South Karelia",682,690,748,758,713,886,796,715,548,592,520,551,491,515,357,388,327,341,365,365,388,245,210,181,181
"Other trailers total","South Savo",803,836,834,940,1022,1162,1039,909,850,925,969,879,789,772,644,573,602,640,631,659,520,393,319,294,306
"Other trailers total","North Savo",1207,1285,1371,1491,1608,1881,1727,1317,1231,1336,1287,1218,942,1113,675,697,731,697,782,987,964,745,611,523,499
"Other trailers total","North Karelia",1037,1015,1095,1199,1236,1664,1288,1156,1057,1080,1081,1187,877,1080,794,736,751,772,835,983,1104,824,558,506,604
"Other trailers total","Central Finland",1286,1212,1450,1460,1553,1860,1431,1293,1092,1248,1257,1253,850,918,680,747,706,736,752,900,931,734,539,550,421
"Other trailers total","South Ostrobothnia",1316,1355,1447,1638,1733,2161,2295,2463,2541,3067,4379,5330,5554,6251,6753,6930,6658,7106,7084,7297,7090,4478,3516,3092,2742
"Other trailers total","Ostrobothnia",1154,1247,1245,1355,1536,1748,1497,1158,1034,1048,1059,953,964,859,624,687,697,612,633,880,845,679,513,423,402
"Other trailers total","Central Ostrobothnia",414,457,454,530,540,665,495,405,362,380,334,337,227,314,209,174,177,152,151,162,199,134,104,151,135
"Other trailers total","North Ostrobothnia",2195,2038,2549,2738,2629,3322,2336,2017,1750,1577,1689,1589,1305,1478,1178,1399,1333,1258,1374,1705,1910,1491,1241,1295,1285
"Other trailers total","Kainuu",440,479,531,597,724,679,653,572,672,660,769,1073,1066,1040,771,542,191,242,306,337,292,232,165,186,168
"Other trailers total","Lapland",1026,1103,1140,1309,1492,1725,1498,1413,1155,1196,1160,998,822,857,745,901,919,1048,1145,1226,1291,1180,816,716,617
"Other trailers total","Unknown",0,1,0,0,0,0,0,8,6,2,1,4,1,5,0,8,7,4,8,9,19,16,13,16,17
"Other trailers total","Foreign countries",0,0,0,0,0,0,0,27,39,5,2,1,1,4,1,1,4,7,28,19,22,27,27,18,16
"Total","MAINLAND FINLAND",178890,190309,229034,238851,250505,264309,243468,246791,172476,196692,215797,191763,172048,174123,172776,185624,193000,191813,189016,172964,176396,150935,149653,129389,105368
"Total","Uusimaa",63323,67364,79497,84148,88770,92772,85613,88569,59884,69807,78843,69558,61625,63100,65462,70396,74985,74759,73845,65410,67634,58750,62134,52491,43100
"Total","Southwest Finland",15044,16273,19429,20046,21155,22469,20010,20313,13800,16154,17499,15821,14112,13889,13745,15224,16022,16192,15840,15656,16265,13342,13399,11630,9622
"Total","Satakunta",7018,7556,9320,9167,9803,10422,9317,9483,6623,7388,7877,7070,6180,6083,5730,5986,6317,5944,5563,4922,4910,4145,3903,3535,2880
"Total","Kanta-Häme",5562,5995,7247,7287,7667,8546,8124,7379,5049,5769,6288,5723,4984,4958,4724,5106,5268,5054,4839,4426,4299,3599,3517,2988,2322
"Total","Pirkanmaa",14353,14861,18283,19211,19396,21276,20498,20591,16198,19338,19798,16040,14074,14300,13578,15312,15778,15112,14303,13972,14608,13091,11755,10102,7991
"Total","Päijät-Häme",5883,6276,7600,7700,8422,8739,8236,8255,5457,6222,6796,5925,5417,5426,5310,5677,6096,6120,5776,5327,5215,4608,4283,3767,3061
"Total","Kymenlaakso",6215,6439,8015,8370,8492,8848,7901,7912,5325,6046,6344,5360,5023,5150,4961,5118,5112,5009,4937,4436,4279,3469,3225,2829,2309
"Total","South Karelia",4426,4669,5386,5576,5863,5897,5584,5714,3703,4303,4761,4200,3795,3723,3376,3737,3688,3814,3559,3105,3233,2562,2432,2233,1778
"Total","South Savo",4181,4574,5490,5758,5874,6265,5874,5725,3997,4538,4926,4426,3869,3888,3691,3785,3768,3852,3572,3153,3046,2439,2455,1988,1641
"Total","North Savo",7313,7741,9289,9442,9778,10478,9748,9806,6911,7641,8347,7511,6561,6919,6271,6767,6951,6802,6839,6391,6494,5116,4994,4393,3607
"Total","North Karelia",4416,4625,5591,6042,6260,6924,6177,6136,4385,5086,5355,4932,4328,4580,4081,4359,4446,4491,4353,4274,4326,3558,3289,3046,2592
"Total","Central Finland",7596,7997,9530,9738,10111,10545,9248,9337,6823,7522,8337,7357,6308,6469,6262,6765,6792,7024,6915,6233,6219,5713,5188,4707,3640
"Total","South Ostrobothnia",6432,7084,8547,8850,9149,9878,9500,9962,7742,8785,10418,10825,10497,10740,11374,11805,11555,12039,12172,11818,11818,8677,7644,6708,5458
"Total","Ostrobothnia",5565,5972,7164,7408,7665,8052,7408,7081,5124,5342,5732,4928,4641,4351,4203,4625,4603,4308,4166,3822,3901,3203,3119,2775,2282
"Total","Central Ostrobothnia",2037,2211,2761,2966,3078,3162,2762,2892,1913,2073,2216,1962,1802,1780,1735,1861,1816,1701,1779,1507,1566,1328,1434,1269,1348
"Total","North Ostrobothnia",11230,11704,15164,15411,16241,16889,15076,14905,10281,10748,11588,10166,9300,9603,9326,10000,10251,10359,10445,9676,9774,8474,8616,7578,6118
"Total","Kainuu",2267,2369,2929,3163,3404,3433,3196,3463,2627,2529,2864,2913,2656,2525,2187,1974,1776,1774,1723,1672,1566,1359,1254,1132,867
"Total","Lapland",6027,6598,7791,8567,9374,9704,9187,9125,6475,7338,7788,7025,6839,6512,6705,7051,7688,7368,8164,6972,7044,7237,6672,5910,4413
"Total","Unknown",2,1,1,0,1,3,5,46,47,21,6,7,18,111,36,44,42,47,87,74,85,110,122,121,132
"Total","Foreign countries",0,0,0,1,2,7,4,97,112,42,14,14,19,16,19,32,46,44,139,118,114,155,218,187,207
